,Ticker,Name,Exchange,Category Name,Country
12617,DIVYAJYQ.BO,Divya Jyoti Industries Ltd,BSE,,India
12650,BJDUP.BO,B.J.DUPLEX BOARDS LTD.,BSE,,India
12726,JAGSNPHARM-EQ.NS,JAGSONPAL PHARMACE INR5,NSI,,India
12729,JAMNAAUTO.NS,Jamna Auto Industries Limited,NSI,Auto Parts,India
12737,JAICORPLTD.NS,Jai Corp Limited,NSI,Rubber & Plastics,India
12751,JAIMI.BO,JAI MATA INDUSTRIES LTD.,BSE,,India
12782,JMA.NS,Jullundur Motor Agency (Delhi) Limited,NSI,Auto Parts,India
12801,JYOTISTRUC-EQ.NS,JYOTI STRUCTURES INR2,NSI,,India
12816,JYOTIRES.BO,Jyoti Resins & Adhesives Ltd.,BSE,,India
12817,JUPITERIN.BO,JUPITER INFOMEDIA LTD.,BSE,,India
12831,JENSONICOL.BO,JENSON & NICHOLSON (INDIA) LTD,BSE,,India
12855,JKLAKBBPH.BO,JKLAKSHMI*,BSE,,India
12858,JUSTDIAL.NS,Just Dial Limited,NSI,,India
12864,JARITEX.BO,Kintech Renewables Limited,BSE,,India
12869,JAYENGY.BO,JAY ENERGY AND S.ENERGIES LTD.,BSE,,India
12870,JKIL.NS,J. Kumar Infraprojects Limited,NSI,General Contractors,India
12885,JAYATMA.BO,Jayatma Spinners Limited,BSE,,India
12887,JAYAMEL.BO,Jayant Mercantile Co. Ltd.,BSE,,India
12898,RJBIOTECH.BO,R J BIO-TECH LTD,BSE,,India
12905,JINDWORLD.BO,JINDAL WORLDWIDE LTD.,BSE,,India
12913,J&KBANK.NS,The Jammu and Kashmir Bank Limited,NSI,Money Center Banks,India
12914,JINDALSTEL.BO,JINDAL STEEL & POWER LTD.,BSE,,India
12925,JINDALPOLY.BO,JINDAL POLY FILMS LTD.,BSE,,India
12938,JPASSOCIAT.BO,JAIPRAKASH ASSOCIATES LTD.,BSE,,India
12958,JINDONL.BO,Kashyap Tele-Medicines Limited,BSE,,India
12960,JAGPRO.BO,VERONICA PRODUCTION LTD,BSE,,India
12961,JUSTDIAL-EQ.NS,JUST DIAL LTD INR10,NSI,,India
12991,JISLDVREQS.BO,JAIN IRRIGATION SYSTEMS LTD.,BSE,,India
13008,JPASSOCIAT6.BO,JPASSOCIAT6.BO,BSE,,India
13026,JSTL.BO,Jeevan Scientific Technology L,BSE,,India
13037,JKAGRI.BO,Florence Investech Limited,BSE,,India
13056,J&KBANK-EQ.NS,THE JAMMU & KASHMIR BANK LIMITE,NSI,,India
13061,JAMEHOT.BO,James Hotels Ltd,BSE,,India
13080,JETINFRA.BO,Jet Infraventure Limited,BSE,,India
13135,JINDALSAW.BO,JINDAL SAW LTD.,BSE,,India
13148,JAMNAAUTO-EQ.NS,JAMNA AUTO INDUSTRIES LIMITED,NSI,,India
13157,JSWSTEEL-P2.NS,JSW STEEL LTD 0.01% PRF 15/03/1,NSI,,India
13172,JENBURPH.BO,Jenburkt Pharmaceuticals Ltd.,BSE,,India
13188,CJGEL.BO,C.J. Gelatine Products Ltd.,BSE,,India
13205,JCTEL-EQ.NS,JCT ELECTRONICS INR1.00,NSI,,India
13217,JLMORI.BO,J. L. Morison (India) Limited,BSE,,India
13224,PCJEWELLER.NS,PC Jeweller Limited,NSI,Jewelry Stores,India
13226,JATTAINDUS.BO,JATTASHANKAR INDUSTIES LTD.,BSE,,India
13230,JSWHL-EQ.NS,JSW HOLDINGS LIMIT INR10,NSI,,India
13244,JAYKAY.BO,JAYKAY ENTERPRISES LTD.,BSE,,India
13250,JSL.BO,Jindal Stainless Limited,BSE,,India
13258,JAYSYN.BO,Jaysynth Dyestuff India Ltd.,BSE,,India
13274,JMCPROJECT.BO,JMC PROJECTS (INDIA) LTD.,BSE,,India
13285,JTLINFRA.BO,JTL INFRA LTD.,BSE,,India
13287,NARBADA.BO,Narbada Gems And Jewellery Ltd,BSE,,India
13295,TARAJEWELS.NS,Tara Jewels Limited,NSI,Jewelry Stores,India
13308,JAYUSH.BO,Jay Ushin Limited,BSE,,India
13323,JSWENERGY.NS,JSW Energy Limited,NSI,Diversified Utilities,India
13327,JAYNECOIND-EQ.NS,JAYASWAL NECO IND INR10,NSI,,India
13331,JUMBO.BO,JUMBO BAG LTD.,BSE,,India
13339,SAIJEEV.BO,SAI JEEVADHARA FINANCE LIMITED,BSE,,India
13350,JUMBFNL.BO,JUMBO FINANCE LTD.,BSE,,India
13356,JBFIND.BO,JBF Industries Limited,BSE,,India
13392,JKCEMENT.NS,J.K. Cement Limited,NSI,General Building Materials,India
13394,JUMBO-BZ.NS,JUMBO-BZ.NS,NSI,,India
13415,JKPAPER-EQ.NS,JK PAPER LIMITED,NSI,,India
13433,JINDHOT.BO,Jindal Hotels Ltd,BSE,,India
13446,JSL6.BO,JSL6.BO,BSE,,India
13453,JUNIORBEES.NS,Goldman Sachs Junior BeES ETF,NSI,,India
13459,JAGSONAI.BO,Jagson Airlines Ltd.,BSE,,India
13482,JINDCOT-EQ.NS,JINDAL COTEX LIMITED,NSI,,India
13485,JAICORPLTD6.BO,JAICORPLTD6.BO,BSE,,India
13491,AJBRO.BO,A.J.BROTHERS LTD.,BSE,,India
13507,JIKIND.BO,JIK INDUSTRIES LTD.,BSE,,India
13512,LYPSAGEMS.BO,LYPSA GEMS & JEWELLERY LTD,BSE,,India
13514,JOSTS.BO,Josts Engineering Company Ltd,BSE,,India
13517,JINDALPHOT.NS,Jindal Photo Limited,NSI,"Recreational Goods, Other",India
13527,JAIBALAJI-EQ.NS,JAI BALAJI INDUSTRIES LIMITED,NSI,,India
13552,JAIHINDS.BO,Jaihind Synthetics Limited,BSE,,India
13566,AJIL.BO,ATLAS JEWELLERY INDIA LIMITED,BSE,,India
13573,JKTYRE.BO,JK TYRE & INDUSTRIES LTD.,BSE,,India
13576,JAGSNPHARM.BO,JAGSONPAL PHARMACEUTICALS LTD.,BSE,,India
13605,JMDTELEFILM.BO,JMD Ventures Limited,BSE,,India
13617,JAYBARMARU.BO,JAY BHARAT MARUTI LTD.,BSE,,India
13626,JAGDAMD.BO,JAGDAMD.BO,BSE,,India
13651,JOYREALTY.BO,Joy Realty Ltd,BSE,,India
13659,JMPCAST.BO,JMP CASTINGS LTD.,BSE,,India
13694,JAYAGROGN.NS,Jayant Agro-Organics Limited,NSI,Specialty Chemicals,India
13702,PCJEWELLER.BO,PC JEWELLER LTD.,BSE,,India
13731,JAIBALAJI.NS,Jai Balaji Industries Limited,NSI,Steel & Iron,India
13743,JINDWORLD.NS,Jindal Worldwide Limited,NSI,Textile Industrial,India
13747,JKPAPER.BO,JK PAPER LTD.,BSE,,India
13773,JIKIND-BE.NS,JIK INDUSTRIES INR10,NSI,,India
13782,JMDEPACKR.BO,JMDE PACKAGING & REALTIES LTD.,BSE,,India
13795,JAIMATAG.BO,Jai Mata Glass Ltd.,BSE,,India
13807,JMTAUTOLTD-EQ.NS,JMT AUTO LIMITED,NSI,,India
13816,JSWHL.NS,JSW Holdings Limited,NSI,Asset Management,India
13824,JINDALPHOT.BO,JINDAL PHOTO LTD.,BSE,,India
13828,JKLAKSHMI.BO,JK Lakshmi Cement Limited,BSE,,India
13845,JTAPARIA.BO,J. TAPARIA PROJECTS LTD,BSE,,India
13846,JOLLYRID.BO,JOLLY RIDES LTD.,BSE,,India
13859,JIYAECO.BO,Jiya Eco-Products Limited,BSE,,India
13864,JISLJALEQS6.BO,JISLJALEQS6.BO,BSE,,India
13872,JAIHINDPRO-EQ.NS,JAIHIND PROJECTS LIMITED,NSI,,India
13878,SHJAGDM.BO,Shree Jagdambe Paper Mills Ltd.,BSE,,India
13956,KMSUGAR.BO,KM Sugar Mills Ltd.,BSE,,India
14014,SKPMIL.BO,Shree Krishna Paper Mills & Industries Ltd.,BSE,,India
14038,KPRMILL.NS,K.P.R. Mill Limited,NSI,Textile - Apparel Clothing,India
14041,KPIT.NS,KPIT Technologies Limited,NSI,Information Technology Services,India
14045,KOTAKBANK.NS,Kotak Mahindra Bank Limited,NSI,Money Center Banks,India
14049,KONARKSY.BO,"Konark Synthetic, Ltd.",BSE,,India
14289,SONASTEER.BO,SONA KOYO STEERING SYSTEMS LTD,BSE,,India
14296,SHKARTP.BO,Shree Karthik Papers Ltd.,BSE,,India
